Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
3000-3099 MEMORIAL,H,2A40,2,Central Division,Theft,"Road, Street, or Sidewalk",WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1477015200000.0,2016-10-20 21:00:00,Thursday,October,21:00:00,29.763133000000003,-95.391468,"173,195"
1200-1299 HARVARD,C,2A30,2,Central Division,Theft,"Road, Street, or Sidewalk",GREATER HEIGHTS,15,1476488700000.0,2016-10-14 18:45:00,Friday,October,18:45:00,29.7925657,-95.3964475,"173,195"
100-199 AUSTIN,I,1A10,1,Special Operations Division,Theft,Convenience Store Parking,DOWNTOWN,61,1476490200000.0,2016-10-14 19:10:00,Friday,October,19:10:00,29.761674199999998,-95.3561253,"173,195"
2400-2499 MAIN,H,2A10,2,Central Division,Theft,"Other, Unknown, or Not Li",NEAR NORTHSIDE,51,1475987400000.0,2016-10-08 23:30:00,Saturday,October,23:30:00,29.746731,-95.37366999999999,"173,195"
100-199 SABINE,H,2A40,2,Central Division,Theft,Residence or House,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475413200000.0,2016-10-02 08:00:00,Sunday,October,08:00:00,29.761295,-95.375323,"173,195"
4300-4399 TULANE,H,3B40,3,North Division,Burglary,Residence or House,INDEPENDENCE HEIGHTS,13,1477058400000.0,2016-10-21 09:00:00,Friday,October,09:00:00,29.825756899999995,-95.4017735,"228,390"
500-599 W 17TH,C,2A30,2,Central Division,Auto Theft,Driveway,GREATER HEIGHTS,15,1474960020000.0,2016-09-27 02:07:00,Tuesday,September,02:07:00,29.800794099999997,-95.40583120000001,"173,195"
1600-1699 NOBLE,H,2A10,2,Central Division,Burglary,Vacant Single Occ Resd(Ho,NEAR NORTHSIDE,51,1476995400000.0,2016-10-20 15:30:00,Thursday,October,15:30:00,29.780445,-95.3521997,"173,195"
2900-2999 WHITE OAK,C,2A30,2,Central Division,Theft,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1475177400000.0,2016-09-29 14:30:00,Thursday,September,14:30:00,29.7816097,-95.39000970000001,"173,195"
300-399 MARATHON,H,3B40,3,North Division,Auto Theft,Apartment Parking Lot,INDEPENDENCE HEIGHTS,13,1476211080000.0,2016-10-11 13:38:00,Tuesday,October,13:38:00,29.822078700000002,-95.40215359999999,"228,390"
